Australian Listed Equity [G],Int'l Listed Equity (Hedged) [G],Int'l Listed Equity (Unhedged) [G],Australian Listed Property [G],Int'l Listed Property [G],Int'l Listed Infrastructure [G],Australian Fixed Income [D],Int'l Fixed Income (Hedged) [D],Cash [D]
-0.010163010464718066,-0.02171744781378387,0.05563006918077857,-0.0449174344942451,-0.02598887235757246,0.0040505381375761755,-0.0069361898827037674,0.005829798424399406,0.004176572769459382
-0.03769572572345897,-0.02578662151466021,-0.04770138677378904,-0.004829242569510911,-0.010301379877186094,-0.0330933542117625,0.011926326026126356,0.0019467852262850908,0.005236425014316867
0.04162087648692531,0.056938405208200656,0.06692245669119906,0.032501170869272074,0.04148813188208051,-0.006283697953422863,-0.001570353773957954,-0.007270794926845404,0.005127365879570575
0.013603447816297912,0.011500288047398614,0.013015105130855858,-0.07881957021271138,0.03199327408573733,0.007975206418263003,-0.0007736936695582826,-0.007785387537907502,0.005150280105495728
-0.07916117503950765,-0.08682821302440386,-0.1042846011005209,-0.0925010991018847,-0.04344254515766904,-0.012045864196115297,0.0007449684844548235,0.0005860536359846783,0.00492095775507709
-0.05044673734882826,-0.022688315089532337,-0.05647639766013795,-0.04913712334774159,-0.0037600251290513193,-0.038074991400068856,0.013493786659436735,0.012187955371588226,0.005251674429449679
0.03688101246759451,0.007058676127848111,-0.053869488552380544,0.08386031370993945,0.01865851449275375,-0.026716963360647984,0.016681383505608327,0.011789236504331273,0.005252020382134034
-0.10289271441970399,-0.112326411866215,-0.129307283425872,-0.056080779490663535,-0.0932148211143265,-0.07750677532681692,0.009222401505387647,0.003423815496065901,0.004557106266409192
-0.13233528712192816,-0.1681908683125944,-0.2286473955594132,-0.21110703134551284,-0.09891671772711136,-0.07498910541660274,0.0153680675935722,0.005763285985498916,0.005647394227552468
-0.06645263841429777,-0.06523537533709595,-0.04545227882799068,-0.024306018657839348,-0.03489046663054201,-0.053458555091569035,0.02346175462174165,0.025505602328276648,0.0042047288869018285
-0.004870571722468017,0.005730776000724529,0.04046918949839246,-0.10493167699638173,-0.011857616317872903,-0.012341685649202783,0.0089079013888554,0.018448691151905776,0.0031934275309828592
-0.05189812895295204,-0.07542552283505138,-0.0350837065673471,-0.08791750815521687,-0.05008816446213387,-0.0010623219778966748,0.010257035147693551,-0.012624575908212305,0.0029798406235184457
-0.04909879810643775,-0.09407563535108238,-0.03397912162654553,-0.13753769460324305,-0.08453054330171367,-0.020847064127127325,-0.012138502772697062,0.0020470731783691237,0.002048578403701648
0.07719777019789392,0.059099867749054576,0.09910912223150109,-0.009578037780803227,-0.009992129677890031,-0.005461822730115296,-0.000720303205304705,0.007827864180964633,0.0018096790504782165
0.05354761235548683,0.09882378307942002,0.11641478188435977,0.04431481822365407,0.01862683717767672,0.004832354270221561,-0.0016699717121059316,-0.002488653021663751,0.0018218059271241512
0.011071350700550268,0.05173787236721856,0.11923065345288159,0.009011048307857443,0.018959963060093572,0.028606599266748144,-0.007815545254788983,-0.006821955153345761,0.0017122137921230605
0.036099385033055154,-0.0051804097391320815,-0.019086478816645207,0.028624817205159095,0.03164233968873149,-0.007702770511931013,-0.00692108814763671,0.0062277075082465645,0.0018486306102591806
0.06989224040134118,0.06967117268024142,0.09295205967717274,0.01635579755396921,0.0311419841840403,0.013380710659898442,0.0009659114302487907,0.005599734697828478,0.0018283654432778437
0.06288642140197936,0.03272547035980184,-0.005019891396122517,0.12427196468612511,0.01860808114399743,0.003266186304494278,0.004389925831011489,0.007231448171699166,0.0017257557316911118
0.05914746815497557,0.02624316394948018,0.057493116229812076,0.07670096309234258,0.010874065062629508,0.01840514666462446,0.004450107576789665,0.0043926581261149724,0.001980032060442902
-0.024210420770525206,-0.026947704309839667,-0.009425976201298975,-0.08305624710954637,-0.03215147301103654,-0.010736435260888955,-0.0023413328617147384,-0.0007408960031592589,0.0017491066507771633
0.014517389940326867,0.026424930105192593,0.0273162459014858,0.006490162992158456,0.0544534372102325,0.009057580481528282,0.01103482524279894,0.008314433617442489,0.00215512381995979
0.03338774058003052,0.03243092631880357,0.03627561495254678,0.023401215605816043,0.035776812873264015,-0.0031787514540519875,-0.004940488197052738,-0.008030611433174496,0.0023171913652824203
-0.06517027317573981,-0.04067291866139216,-0.04944078481042074,-0.028082849510939915,-0.033308395195698885,-0.01031843951186694,0.009747065486566099,0.006489785474949066,0.002523357210269903
0.01695943385406268,0.014954956984682247,-0.007186366260520766,0.007464069001737125,0.012118009798952563,-0.0051891217804211805,0.0025163708207372585,0.005120426648315861,0.002509941236892974
