Date,Australian Listed Equity [G],Int'l Listed Equity (Hedged) [G],Int'l Listed Equity (Unhedged) [G],Australian Listed Property [G],Int'l Listed Property [G],Int'l Listed Infrastructure [G],Australian Fixed Income [D],Int'l Fixed Income (Hedged) [D],Cash [D]
2009-11-30 00:00:00,213.1794126464799,94.2693149582338,330.4320000000004,104.57964770635981,116.70699999999998,178.65523661081525,167.61985328676823,194.52821230494138,162.22167215965993
2009-12-31 00:00:00,221.04311951718654,97.75076808308043,344.2360000000004,107.94823301925999,121.641,180.2311988569944,166.98082957363002,193.1183149769404,162.74501671102217
2010-01-29 00:00:00,207.41132995294393,94.21483750012256,329.11000000000035,104.96298118104029,118.38,180.5342685197212,169.22958309260704,195.01764166457673,163.3095231150874
2010-02-26 00:00:00,211.65484833869937,96.04778311100627,328.55500000000035,106.39878554527493,120.584,181.76386543706977,170.069035652792,196.62147286361645,163.87341000187303
2010-03-31 00:00:00,223.80671819805258,102.31269079380021,349.0150000000004,106.46832834377894,126.23900000000002,185.79902151794607,169.07703827045205,197.382562798774,164.40893486853125
2010-04-30 00:00:00,220.79434805844858,102.5692747136251,349.36500000000035,110.69178122853293,127.13199999999999,188.10235095466948,170.00858207136622,198.80241527119156,164.9784151937186
2010-05-31 00:00:00,204.1462778784363,94.79931682322788,331.1450000000003,106.4462781881557,120.21199999999999,182.90254145560033,172.8057501873322,202.08234818883378,165.59748549807506
2010-06-30 00:00:00,198.743107785758,90.84857229796702,329.43400000000037,105.30306242738293,121.251,181.36121574230424,175.1646939683517,204.37088273414213,166.251730349851
2010-07-30 00:00:00,207.63898484038737,96.0615742513029,349.7480000000004,106.33857165876537,127.046,184.2403775382085,175.64245112622962,206.27863300551556,166.953537210927
2010-08-31 00:00:00,205.39437152130554,92.82998125190167,344.80400000000037,110.6027325231315,128.65699999999998,184.67333419924674,179.01588067985074,211.11386579316658,167.63134318437753
2010-09-30 00:00:00,215.22811110966273,99.2826643894106,371.44200000000046,109.54686930194299,131.513,191.01181971684642,177.40033638527507,211.29985469318055,168.25407219726063
2010-10-29 00:00:00,219.17808308458356,102.1116149866995,380.03200000000044,109.3060137559048,135.27899999999997,194.68329220245062,177.40116295475235,211.19101816239524,168.96060930586626
2010-11-30 00:00:00,217.05567214567822,101.77557250409792,375.97100000000046,106.83639632610486,134.47599999999997,194.3239381737889,177.01125018063414,209.1533724008937,169.61738653665395
2010-12-31 00:00:00,225.24564307780534,107.53158220206704,392.7650000000005,108.35616089828945,138.16799999999998,199.96536346711704,177.05827913365277,209.1618917071733,170.3368662215373
2011-01-31 00:00:00,225.4829438064574,109.61640016883089,384.4410000000005,111.01150848506953,140.69299999999998,201.34216564921863,178.68750457819752,208.95388662239188,171.0666383521478
2011-02-28 00:00:00,230.7409048841846,112.82060720280323,379.06400000000053,114.39027079287273,145.08499999999995,204.12607697969443,179.44544028648346,209.63782418832074,171.70127444869507
2011-03-31 00:00:00,232.28247976328572,111.38269678141275,395.33300000000054,112.19797647418014,141.71299999999997,204.3771918430966,180.67075828058748,210.24757678383745,172.42034801092424
2011-04-29 00:00:00,231.5443773870197,113.908389528549,398.5150000000005,112.34045440282244,144.66699999999997,208.06165302853194,181.53606251373475,212.51955132929893,173.11459642475634
2011-05-31 00:00:00,226.87259668652308,112.45879835487878,392.1680000000005,112.39982020642339,145.50199999999995,206.07005238775608,183.86684592773463,215.41850852792132,173.83559702696417
2011-06-30 00:00:00,222.39053925466308,110.67620758365466,384.7430000000005,111.46947325570548,146.82399999999993,203.26449322422835,184.8807046476293,216.04357673023281,174.53822214108013
2011-07-29 00:00:00,213.8709803563746,107.65982508318841,381.0560000000005,104.1106578579122,144.99799999999993,204.6629432393818,187.97495323469428,218.8018217914282,175.26819589116212
2011-08-31 00:00:00,209.63951927212992,100.3758944609675,353.12800000000044,107.44447177156042,143.73499999999993,199.95670433389625,191.71805886143773,223.8703304150721,176.01522871519418
2011-09-30 00:00:00,196.4838301810549,94.29154765059815,326.92500000000047,102.58919711991047,142.16099999999992,193.55760488375122,193.44385042284742,227.28839096149466,176.696111608446
2011-10-31 00:00:00,210.6925453289361,102.35215014183755,356.54100000000045,106.25800378244979,149.63199999999992,196.90435987357677,192.33821398857694,226.77014911657668,177.43846897546035
