,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
98,-2.8126075,-0.74342144,-1.8298106,-0.80766976,-0.6870562,1.5667013,-2.031866,-3.308426,-1.8560517,-0.10422879
99,-0.48769212,1.6647234,1.5081031,0.20154037,1.3951232,-0.066933125,0.1979093,-0.29132596,1.6292915,1.351276
100,1.1114442,1.2857773,1.3801712,0.64046943,0.7883074,-0.84760463,1.0074604,0.3303209,1.5136001,1.6184919
101,2.0429192,0.62283623,1.2255597,1.2471586,0.7020459,-0.3643313,0.78005695,-0.69077754,0.2964626,1.6669276
102,0.08975509,0.16554362,-0.27528274,0.37774366,0.33322373,-0.3503457,0.3349813,1.1341383,0.2854272,-0.5567871
103,1.2023236,1.4336538,1.204175,1.0414784,1.7659628,-0.4732935,1.4700005,0.21614487,1.1497104,1.2663012
104,-0.108767085,0.8343464,0.028656527,1.4510238,-0.79035044,-0.80920136,1.557407,2.4133296,0.83380646,0.7954208
105,0.5716221,0.6700341,0.8309492,1.9733773,0.31096408,-0.8314616,0.75940776,1.1977526,0.5644929,1.72948
106,-1.0353189,-0.31376857,-0.6616801,-0.6654811,0.16151392,0.7058712,-0.6901432,-1.6750268,-1.3147917,-0.04007498
107,1.8123726,0.024716824,-0.3049667,0.9189989,1.5766159,-0.36172986,0.9491693,0.5901785,0.40255052,0.28341922
108,0.7798871,0.47608286,-0.07656729,0.22617902,0.8059771,-0.7944943,1.0283177,0.4645477,0.95146805,0.14483117
109,-0.14174631,-0.59023863,-0.8617364,-0.55422795,-1.4959958,0.9430206,-1.2104188,-1.0020478,-1.0399731,-0.28800744
110,0.046146438,0.15390779,0.020617098,0.06897372,0.17538455,-0.33922783,0.46133623,0.3315916,-0.12247151,-0.12545133
111,1.249707,0.86541456,0.5438298,0.8207615,1.3382548,-0.36711857,1.3271948,0.1308624,0.50689155,0.3968508
112,0.73262435,-0.25722632,-0.059275776,0.36043632,-0.6490948,-0.3692607,-0.18140674,0.059542373,-0.32998875,-0.033859096
113,-1.7897121,-1.588481,-0.9009353,-1.0578628,-2.2511413,1.304886,-1.3931093,-1.2368205,-0.40985742,-1.280682
114,-0.19493693,-0.87759966,-1.0269189,-0.43321806,-0.31801122,0.08783659,-0.9345281,-0.352673,-0.056875855,-0.7030524
115,1.2380638,0.4172187,0.24353823,0.49511027,1.3137105,-0.4485374,1.1940391,0.19646405,1.1283736,0.16807562
116,0.12911706,-0.32644606,-0.5148516,0.294067,-0.44667816,-0.103601396,-0.7755655,0.6275251,-0.21544394,-0.7383225
117,0.86186177,1.5134399,0.8625386,0.8833404,1.3462597,-0.22227953,1.1701847,-0.4472716,0.21635687,0.86315966
